name,accuracy,ari,nmi,inertia,time
Original,0.5634,0.35339934240145093,0.49099216427574494,2165277.32517066,2.8644442558288574
PCA_90%,0.5062,0.3321174848000318,0.48147202011678153,1801990.4277720212,3.027569055557251
PCA_95%,0.4886,0.3497442138209093,0.5076659401634154,2000078.3641599831,3.820732831954956
PCA_Elbow,0.5532,0.3528301993950009,0.49048456126398166,1682231.2952667747,1.3505847454071045
Original,0.583,0.4101274894071855,0.5857514527741429,,2.9349887371063232
PCA_90%,0.5846,0.41573204286041143,0.5912343501996465,,5.621796131134033
PCA_95%,0.584,0.4214872126042863,0.5939050149410264,,4.265791416168213
PCA_Elbow,0.586,0.42731583143106033,0.6030065145163742,,5.209294557571411
