dim,corr_pca,corr_rp
10,0.8972296429805838,0.8138648880714556
20,0.9608848074228126,0.8878039925864343
50,0.9867363889481106,0.9579823297634572
100,0.9957327447842144,0.9773509353860775
200,0.9990385003393365,0.9849312743647238
300,0.9997361820353226,0.9904505789220699
